population,group,Lat,Lon
Han_Sichuan,South,30.5728,104.0665
Han_Beijing,North,39.9042,116.4075
Han_Guangdong,South,23.1291,113.2644
Han_Henan,North,34.7466,113.6254
Han_Anhui,South,31.8214,117.2273
Han_Chongqing,Target,29.5638,106.504
Han_Fujian,South,26.0745,119.2965
Han_Gansu,North,36.0614,103.8342
Han_Guangxi,South,22.817,108.3665
Han_Guizhou,South,26.647,106.6333
Han_Hainan,South,20.031,110.1983
Han_Hebei,North,38.0455,114.5149
Han_Heilongjiang,North,45.8022,126.6425
Han_Hubei,South,30.5928,114.3054
Han_Hunan,South,28.2282,112.9388
Han_InnerMongolia,North,40.8424,111.751
Han_Jiangsu,South,32.0603,118.7969
Han_Jiangxi,South,28.6765,115.8586
Han_Jilin,North,43.8962,125.3245
Han_Liaoning,North,41.8057,123.4315
Han_Ningxia,North,38.4675,106.2325
Han_Shaanxi,North,34.2649,108.9342
Han_Shandong,North,36.6512,117.1201
Han_Shanghai,South,31.2304,121.4737
Han_Shanxi,North,37.8695,112.5492
Han_Tianjin,North,39.1256,117.1902
Han_Xinjiang,North,43.8266,87.6168
Han_Yunnan,South,25.0389,102.7103
Han_Zhejiang,South,30.2741,120.1551
Han_Taiwan,South,25.0458,121.5201
Han_Qinghai,North,36.6167,101.7782
ANEA,ANEA,36.81666738,113.760596
ASEA,ASEA,26.1606856,108.8675421
